教师,期刊/会议,类型,论文数,总引用
孙波,Key engineering materials,book series,1,0
孙波,Testowy IndexCopernicus,journal,1,0
孙波,Journal of Yunnan RTV University,journal,1,0
孙波,China Report,journal,1,0
孙波,DR-NTU (Nanyang Technological University),repository,1,0
孙波,Journal of Water Resources and Water Engineering,journal,1,0
孙波,Modern Computer,journal,1,0
孙波,Zhongguo ruankexue,journal,1,0
孙波,Journal of Computer Applications,journal,1,0
孙波,Shenyang Nongye Daxue xuebao,journal,1,2
孙波,Guoji jing-mao tansuo,journal,1,0
孙波,Computer Technology and Development,journal,1,0
孙波,Journal of Shangqiu Teachers College,journal,1,0
孙波,IEEE Transactions on Wireless Communications,journal,1,0
孙波,IEEE Transactions on Visualization and Computer Graphics,journal,1,39
孙波,Spacecraft Engineering,journal,1,2
孙波,Journal of Zhejiang Wanli University,journal,1,0
孙波,Journal of Northeast Dianli University,journal,1,0
孙波,11th AIAA/ISSMO Multidisciplinary Analysis and Optimization Conference,conference,1,0
孙波,Coal science and technology,journal,1,0
孙波,Pharmaceutical Education,journal,1,0
孙波,Journal of North China Institute of Technology,journal,1,0
孙波,Shanxi Science & Technology of Communications,journal,1,0
孙波,Light Industry Machinery,journal,1,0
孙波,Spectrum Research Repository (Concordia University),repository,1,0
孙波,Microcomputer applications,journal,1,0
尹乾,Lecture notes in computer science,book series,8,20
尹乾,Remote Sensing,journal,4,42
尹乾,Monthly Notices of the Royal Astronomical Society,journal,4,51
尹乾,Advances in intelligent systems and computing,book series,4,10
尹乾,International Journal of Fuzzy Systems,journal,3,39
尹乾,International Journal of Intelligent Systems,journal,3,190
尹乾,Complex & Intelligent Systems,journal,3,83
尹乾,arXiv (Cornell University),repository,3,57
尹乾,IFIP advances in information and communication technology,book series,3,2
尹乾,Electronics,journal,2,2
尹乾,Engineering Applications of Artificial Intelligence,journal,2,58
尹乾,Journal of Physics Conference Series,journal,2,4
尹乾,Neurocomputing,journal,2,45
尹乾,Journal of Intelligent & Fuzzy Systems,journal,2,19
尹乾,Soft Computing,journal,2,39
尹乾,Journal of Energy Storage,journal,1,0
尹乾,SSRN Electronic Journal,repository,1,0
尹乾,Information Sciences,journal,1,7
尹乾,Mathematical Biosciences & Engineering,journal,1,4
尹乾,Multimedia Tools and Applications,journal,1,2
尹乾,The Astrophysical Journal Supplement Series,journal,1,11
尹乾,Neural Computing and Applications,journal,1,3
尹乾,AIMS Mathematics,journal,1,10
尹乾,IEEE Transactions on Cybernetics,journal,1,7
尹乾,Research in Astronomy and Astrophysics,journal,1,11
尹乾,IEEE Access,journal,1,7
尹乾,Science China Physics Mechanics and Astronomy,journal,1,36
尹乾,EURASIP Journal on Image and Video Processing,journal,1,203
尹乾,Communications in computer and information science,book series,1,1
尹乾,Proceedings of the 2018 8th International Conference on Social science and Education Research (SSER 2018),conference,1,0
尹乾,Optik,journal,1,1
尹乾,Optics Express,journal,1,5
尹乾,Pattern Recognition Letters,journal,1,78
尹乾,Applied Mathematical Modelling,journal,1,9
尹乾,Lecture notes in electrical engineering,book series,1,3
尹乾,PLoS ONE,journal,1,16
尹乾,International Journal of Computational Intelligence Systems,journal,1,0
尹乾,Advanced materials research,journal,1,0
尹乾,Journal of Circuits Systems and Computers,journal,1,2
尹乾,Jisuanji gongcheng yu sheji,journal,1,1
崔振,arXiv (Cornell University),repository,14,38
崔振,Proceedings of the AAAI Conference on Artificial Intelligence,conference,6,37
崔振,Lecture notes in computer science,book series,5,3
崔振,IEEE Transactions on Multimedia,journal,4,68
崔振,ArXiv.org,repository,3,0
崔振,IEEE Transactions on Neural Networks and Learning Systems,journal,3,43
崔振,Journal of Hydrology,journal,3,156
崔振,IEEE Transactions on Image Processing,journal,3,44
崔振,Neurocomputing,journal,3,43
崔振,IEEE Transactions on Computational Biology and Bioinformatics,journal,2,0
崔振,ACM Transactions on Multimedia Computing Communications and Applications,journal,2,11
崔振,International Journal of Computer Vision,journal,2,0
崔振,Hydrology and earth system sciences,journal,2,8
崔振,IEEE Transactions on Geoscience and Remote Sensing,journal,2,51
崔振,Science China Information Sciences,journal,2,2
崔振,2021 IEEE/CVF International Conference on Computer Vision (ICCV),conference,2,36
崔振,Journal of Hydrology Regional Studies,journal,1,0
崔振,bioRxiv (Cold Spring Harbor Laboratory),repository,1,0
崔振,Molecular & cellular biomechanics,journal,1,1
崔振,Science China Materials,journal,1,10
崔振,Visual Intelligence,journal,1,3
崔振,Neural Networks,journal,1,22
崔振,IEEE/ACM Transactions on Computational Biology and Bioinformatics,journal,1,2
崔振,IEEE Transactions on Pattern Analysis and Machine Intelligence,journal,1,1
崔振,Marine Geology,journal,1,1
崔振,Pattern Recognition,journal,1,8
崔振,IEEE Transactions on Artificial Intelligence,journal,1,1
崔振,IEEE Transactions on Consumer Electronics,journal,1,13
崔振,ACS Omega,journal,1,9
崔振,IEEE Transactions on Emerging Topics in Computational Intelligence,journal,1,8
崔振,IEEE Transactions on Intelligent Transportation Systems,journal,1,29
崔振,2022 IEEE International Conference on Data Mining (ICDM),conference,1,2
崔振,International Journal of Computational Intelligence Systems,journal,1,2
崔振,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),conference,1,24
崔振,International Journal of Refrigeration,journal,1,10
崔振,Lecture notes in electrical engineering,book series,1,2
崔振,IEEE/CAA Journal of Automatica Sinica,journal,1,27
崔振,Hydrology research,journal,1,69
崔振,IEEE Transactions on Emerging Topics in Computing,journal,1,123
崔振,Multimedia Systems,journal,1,2
张婷,arXiv (Cornell University),repository,18,194
张婷,Computational Geosciences,journal,9,95
张婷,Stochastic Environmental Research and Risk Assessment,journal,7,86
张婷,Research Square,repository,7,7
张婷,SSRN Electronic Journal,repository,6,3
张婷,IEEE Access,journal,6,303
张婷,Applied Mechanics and Materials,journal,6,4
张婷,Geofluids,journal,5,51
张婷,Advanced materials research,journal,5,2
张婷,"Proceedings of SPIE, the International Society for Optical Engineering/Proceedings of SPIE",journal,4,4
张婷,Propellants Explosives Pyrotechnics,journal,3,39
张婷,Remote Sensing,journal,3,207
张婷,Lecture notes in computer science,book series,3,21
张婷,Journal of Physics Conference Series,journal,3,3
张婷,Geoenergy Science and Engineering,journal,3,20
张婷,Transport in Porous Media,journal,3,31
张婷,Information Sciences,journal,3,51
张婷,Communications in computer and information science,book series,3,12
张婷,Computers & Geosciences,journal,3,85
张婷,Journal of Petroleum Science and Engineering,journal,3,79
张婷,DEStech Transactions on Computer Science and Engineering,journal,3,13
张婷,Ceramics International,journal,2,23
张婷,Neural Networks,journal,2,48
张婷,IEEE Sensors Journal,journal,2,12
张婷,International Journal of Computing Science and Mathematics,journal,2,0
张婷,Computers & Electrical Engineering,journal,2,18
张婷,Knowledge-Based Systems,journal,2,57
张婷,Ad Hoc Networks,journal,2,75
张婷,Rock Mechanics and Rock Engineering,journal,2,46
张婷,Lecture notes in civil engineering,book series,2,2
张婷,Journal of Applied Geophysics,journal,2,28
张婷,Pattern Recognition,journal,2,60
张婷,Springer series in geomechanics and geoengineering,book series,2,0
张婷,RSC Advances,journal,2,68
张婷,Advanced Powder Technology,journal,2,38
张婷,Cluster Computing,journal,2,59
张婷,Composite Structures,journal,2,81
张婷,Ocean Engineering,journal,2,25
张婷,Acta Geologica Sinica - English Edition,journal,2,14
张婷,Marine and Petroleum Geology,journal,2,31
张婷,Neurocomputing,journal,2,179
张婷,Fuel,journal,2,45
张婷,Journal of Network and Computer Applications,journal,2,377
张婷,IOP Conference Series Materials Science and Engineering,conference,2,0
张婷,HAL (Le Centre pour la Communication Scientifique Directe),repository,2,2
张婷,International Journal of Computer Theory and Engineering,journal,2,1
张婷,Applied Soft Computing,journal,2,53
张婷,Global marketing conference proceeding,conference,2,0
张婷,High Performance Polymers,journal,2,20
张婷,Energy Procedia,journal,2,0
张婷,Journal of Tangshan College,journal,2,0
张婷,Bulletin of Engineering Geology and the Environment,journal,1,0
张婷,Accident Analysis & Prevention,journal,1,0
张婷,npj Computational Materials,journal,1,0
张婷,Chemical Engineering Science,journal,1,1
张婷,Nuclear Techniques,journal,1,0
张婷,ChemRxiv,repository,1,0
张婷,Frontiers in Public Health,journal,1,0
张婷,Journal of Colloid and Interface Science,journal,1,0
张婷,ArXiv.org,repository,1,0
张婷,International Journal of Biological Macromolecules,journal,1,2
张婷,International Journal of Heat and Mass Transfer,journal,1,6
张婷,Applied Surface Science,journal,1,3
张婷,Nuclear Engineering and Design,journal,1,1
张婷,The Journal of Supercomputing,journal,1,2
张婷,Orphanet Journal of Rare Diseases,journal,1,2
张婷,Information Fusion,journal,1,2
张婷,Frontiers of digital education.,journal,1,2
张婷,Organic Geochemistry,journal,1,1
张婷,International Journal of Coal Science & Technology,journal,1,3
张婷,Aquaculture International,journal,1,1
张婷,Processes,journal,1,0
张婷,ACS Omega,journal,1,2
张婷,Information systems engineering and management,journal,1,1
张婷,Astronomical Techniques and Instrument,journal,1,0
张婷,Journal of Analytical and Applied Pyrolysis,journal,1,18
张婷,Frontiers in Marine Science,journal,1,3
张婷,Sensors,journal,1,1
张婷,Journal of Thermal Analysis and Calorimetry,journal,1,6
张婷,Robotics and Autonomous Systems,journal,1,12
张婷,Global Ecology and Conservation,journal,1,3
张婷,Computer-Aided Design,journal,1,2
张婷,Nonlinear Analysis Real World Applications,journal,1,1
张婷,JOM,journal,1,8
张婷,Network Modeling Analysis in Health Informatics and Bioinformatics,journal,1,5
张婷,Colloids and Surfaces A Physicochemical and Engineering Aspects,journal,1,12
张婷,Measurement,journal,1,2
张婷,Engineering Fracture Mechanics,journal,1,34
张婷,Journal of Energetic Materials,journal,1,6
张婷,Scientific Reports,journal,1,120
张婷,Displays,journal,1,4
张婷,Environmental Pollution,journal,1,8
张婷,Separation and Purification Technology,journal,1,39
张婷,Frontiers in Energy Research,journal,1,1
张婷,Remote Sensing Letters,journal,1,1
张婷,Computer Vision and Image Understanding,journal,1,19
张婷,Computers & Industrial Engineering,journal,1,17
张婷,Process Safety and Environmental Protection,journal,1,17
张婷,Water,journal,1,6
张婷,Applied Composite Materials,journal,1,1
张婷,Defence Technology,journal,1,69
张婷,Applied Mathematical Modelling,journal,1,28
张婷,2022 IEEE International Conference on Visual Communications and Image Processing (VCIP),conference,1,6
张婷,Applied Sciences,journal,1,26
张婷,Computer Modeling in Engineering & Sciences,journal,1,2
张婷,Sustainability,journal,1,9
张婷,Journal of Second Language Writing,journal,1,6
张婷,Energy,journal,1,92
张婷,Journal of Non-Crystalline Solids,journal,1,28
张婷,Acta Geotechnica,journal,1,32
张婷,Engineering Failure Analysis,journal,1,39
张婷,Composites Part B Engineering,journal,1,28
张婷,International Journal for Numerical and Analytical Methods in Geomechanics,journal,1,18
张婷,Fibers and Polymers,journal,1,0
张婷,Signal Image and Video Processing,journal,1,9
张婷,Journal of Hydrology,journal,1,26
张婷,Journal of Testing and Evaluation,journal,1,2
张婷,Fluid dynamics & materials processing,journal,1,3
张婷,Geological Journal,journal,1,12
张婷,Journal of Mathematics,journal,1,1
张婷,2021 International Conference on Electronic Information Technology and Smart Agriculture (ICEITSA),conference,1,3
张婷,Soft Computing,journal,1,20
张婷,Engineering With Computers,journal,1,59
张婷,2021 3rd International Conference on Artificial Intelligence and Advanced Manufacture,conference,1,1
张婷,Pure and Applied Geophysics,journal,1,2
张婷,Computers & Chemical Engineering,journal,1,10
张婷,Advances in Educational Technology and Psychology,journal,1,0
张婷,International Journal of Rock Mechanics and Mining Sciences,journal,1,38
张婷,Journal of Experimental & Theoretical Artificial Intelligence,journal,1,4
张婷,The Science of The Total Environment,journal,1,36
张婷,PubMed,repository,1,1
张婷,Applied Intelligence,journal,1,79
张婷,Chemical Engineering Journal,journal,1,40
张婷,Engineering Analysis with Boundary Elements,journal,1,3
张婷,Infrared Physics & Technology,journal,1,19
张婷,IEEE Transactions on Intelligent Transportation Systems,journal,1,54
张婷,Mathematical Problems in Engineering,journal,1,2
张婷,International Journal of Machine Learning and Cybernetics,journal,1,3
张婷,PAMM,journal,1,8
张婷,Advances in intelligent systems and computing,book series,1,1
张婷,Shock and Vibration,journal,1,9
张婷,IOP Conference Series Earth and Environmental Science,conference,1,1
张婷,Beijing Youdian Xueyuan xuebao,journal,1,0
张婷,Journal of Shanghai Jiaotong University (Science),journal,1,8
张婷,Frontiers of Medicine,journal,1,8
张婷,British Journal of Radiology,journal,1,31
张婷,Journal of Solid State Chemistry,journal,1,34
张婷,Multimedia Tools and Applications,journal,1,10
张婷,Diagnostics,journal,1,83
张婷,Computer Communications,journal,1,100
张婷,Eurographics,repository,1,7
张婷,Acta Physica Sinica,journal,1,7
张婷,Korea Journal of Chinese Linguistics,journal,1,0
张婷,Engineering Computations,journal,1,28
张婷,Energy & Fuels,journal,1,2
张婷,The Computer Journal,journal,1,19
张婷,Mechanics of Materials,journal,1,46
张婷,European Journal of Mechanics - A/Solids,journal,1,39
张婷,OCEANS 2019 - Marseille,journal,1,11
张婷,Arabian Journal of Geosciences,journal,1,7
张婷,IEEE Transactions on Neural Networks and Learning Systems,journal,1,8
张婷,IEICE Technical Report; IEICE Tech. Rep.,journal,1,0
张婷,SHILAP Revista de lepidopterología,journal,1,1
张婷,IEICE Transactions on Information and Systems,journal,1,0
张婷,Waste Management,journal,1,51
张婷,Intelligent Data Analysis,journal,1,3
张婷,Recent Advances in Electrical & Electronic Engineering (Formerly Recent Patents on Electrical & Electronic Engineering),journal,1,4
张婷,E3S Web of Conferences,journal,1,0
张婷,Construction and Building Materials,journal,1,37
张婷,Solar Energy Materials and Solar Cells,journal,1,116
张婷,Electrochimica Acta,journal,1,97
张婷,"Defect and diffusion forum/Diffusion and defect data, solid state data. Part A, Defect and diffusion forum",journal,1,0
张婷,Journal of Advanced Computational Intelligence and Intelligent Informatics,journal,1,10
张婷,International Journal of Remote Sensing,journal,1,3
张婷,International Journal of Remote Sensing Application,journal,1,1
张婷,Xitong Kexue yu Shuxue,journal,1,1
张婷,The International Journal of Advanced Manufacturing Technology,journal,1,47
张婷,International Journal of Parallel Emergent and Distributed Systems,journal,1,3
张婷,EURASIP Journal on Wireless Communications and Networking,journal,1,122
张婷,Journal of Natural Gas Science and Engineering,journal,1,52
张婷,Robotica,journal,1,26
张婷,Advances in energy engineering,journal,1,1
张婷,Procedia CIRP,journal,1,3
张婷,Journal of Convergence Information Technology,journal,1,0
张婷,Gong-kuang zidonghua,journal,1,0
张婷,Journal of Hebei University of Engineering,journal,1,0
张婷,Lecture notes in electrical engineering,book series,1,0
张婷,Hebei Journal of Industrial Science and Technology,journal,1,0
张婷,Laboratory Science,journal,1,0
张婷,Microelectronics & Computer,journal,1,0
张婷,Industrial Safety and Environmental Protection,journal,1,0
张婷,China Food Additives,journal,1,0
张婷,Key engineering materials,book series,1,2
张婷,International Journal of Computers and Applications,journal,1,0
张婷,Anhui nongye kexue,journal,1,0
张婷,Nanjing Linye Daxue xuebao,journal,1,2
张婷,Computer Integrated Manufacturing Systems,journal,1,1
张婷,Jisuanji fangzhen,journal,1,0
张婷,Journal of Xichang College,journal,1,0
张婷,Chinese Control Conference,conference,1,4
张婷,Communications technology,journal,1,1
张婷,Wireless Communication Technology,journal,1,0
张婷,Duanya jishu,journal,1,0
张婷,Science China Physics Mechanics and Astronomy,journal,1,18
张婷,Journal of University of Science and Technology Liaoning,journal,1,0
张婷,2010 International Conference on Advanced Intelligence and Awareness Internet (AIAI 2010),conference,1,2
张婷,Journal of Composite Materials,journal,1,3
张婷,Science Bulletin,journal,1,29
张婷,Composites Science and Technology,journal,1,19
张婷,Computer Knowledge and Technology,journal,1,0
张婷,Thermochimica Acta,journal,1,3
张婷,Beijing Hangkong Hangtian Daxue xuebao,journal,1,0
张婷,Science Technology and Engineering,journal,1,0
张婷,Wuhan Daxue xuebao. Xinxi kexue ban,journal,1,2
张婷,Journal of Inner Mongolia University for the Nationalities,journal,1,0
张婷,Jisuanji gongcheng yu sheji,journal,1,0
张婷,Jisuanji gongcheng,journal,1,4
张婷,Acta Geodaetica et Cartographica Sinica,journal,1,5
张婷,Computer Technology and Development,journal,1,0
张婷,Dianzi Ke-ji Daxue xuebao,journal,1,0
张婷,Journal of Jianghan University,journal,1,0
张婷,Journal of Xi'an Institute of Physical Education,journal,1,0
张婷,Dongwu xuebao,journal,1,2
张家才,"Proceedings of SPIE, the International Society for Optical Engineering/Proceedings of SPIE",journal,9,16
张家才,Lecture notes in computer science,book series,7,19
张家才,Toxins,journal,6,330
张家才,IEEE Transactions on Biomedical Engineering,journal,3,0
张家才,IEEE Journal of Biomedical and Health Informatics,journal,3,47
张家才,Cognitive Neurodynamics,journal,3,56
张家才,PLoS ONE,journal,3,176
张家才,Journal of Neuroscience Methods,journal,3,14
张家才,Frontiers in Aging Neuroscience,journal,3,99
张家才,Journal of Alzheimer s Disease,journal,3,152
张家才,Biomedical Signal Processing and Control,journal,2,5
张家才,Preprints.org,repository,2,2
张家才,Journal of Neural Engineering,journal,2,77
张家才,IEEE Transactions on Neural Systems and Rehabilitation Engineering,journal,2,1
张家才,Neurocomputing,journal,2,19
张家才,Tetrahedron,journal,2,31
张家才,Journal of Agricultural and Food Chemistry,journal,2,113
张家才,IEEE Access,journal,2,36
张家才,Lecture notes in electrical engineering,book series,2,9
张家才,BioMed Research International,journal,2,152
张家才,Signal processing research,journal,2,1
张家才,Frontiers in Computational Neuroscience,journal,2,26
张家才,Zürcher Hochschule für Angewandte Wissenschaften digital collection (Zurich University of Applied Sciences),repository,1,0
张家才,ArXiv.org,repository,1,0
张家才,Frontiers in artificial intelligence and applications,journal,1,0
张家才,Pattern Recognition,journal,1,1
张家才,Metallurgical and Materials Transactions B,journal,1,0
张家才,Mathematics,journal,1,2
张家才,SSRN Electronic Journal,repository,1,0
张家才,Research,journal,1,16
张家才,Entropy,journal,1,1
张家才,arXiv (Cornell University),repository,1,0
张家才,International Journal of Environmental Research and Public Health,journal,1,3
张家才,Computer Methods and Programs in Biomedicine,journal,1,5
张家才,International Journal of Psychophysiology,journal,1,0
张家才,Brain Sciences,journal,1,28
张家才,Ecotoxicology and Environmental Safety,journal,1,36
张家才,Symmetry,journal,1,17
张家才,Sustainability,journal,1,41
张家才,Microorganisms,journal,1,39
张家才,NeuroImage,journal,1,25
张家才,Cai-jing yanjiu,journal,1,2
张家才,Poultry Science,journal,1,60
张家才,Frontiers in Neurology,journal,1,100
张家才,EDBT/ICDT Workshops,conference,1,0
张家才,"2019 International Conference on Image and Video Processing, and Artificial Intelligence",conference,1,0
张家才,Journal of Structural Biology,journal,1,3
张家才,BMC Genomics,journal,1,53
张家才,Small Ruminant Research,journal,1,34
张家才,Human Brain Mapping,journal,1,8
张家才,Figshare,repository,1,0
张家才,IEEE Conference Proceedings,conference,1,0
张家才,Food and Chemical Toxicology,journal,1,42
张家才,Scientific Reports,journal,1,52
张家才,Neurodegenerative Diseases,journal,1,13
张家才,BMC Neuroscience,journal,1,17
张家才,Journal of Healthcare Engineering,journal,1,26
张家才,Animal Science Journal,journal,1,4
张家才,Food Additives and Contaminants Part B,journal,1,49
张家才,BioMed Research International (Web),journal,1,0
张家才,Journal of Affective Disorders,journal,1,81
张家才,Bio-Medical Materials and Engineering,journal,1,34
张家才,Journal of Magnetic Resonance Imaging,journal,1,16
张家才,Brain Research,journal,1,24
张家才,"Conference proceedings/Conference proceedings - IEEE International Conference on Systems, Man, and Cybernetics",conference,1,3
张家才,Journal of Electronics (China),journal,1,1
张家才,Journal of Lanzhou University,journal,1,0
张少魁,IEEE Transactions on Visualization and Computer Graphics,journal,5,55
张少魁,arXiv (Cornell University),repository,4,31
张少魁,Graphical Models,journal,2,23
张少魁,Journal of Computer-Aided Design & Computer Graphics,journal,2,0
张少魁,Computational Visual Media,journal,1,0
张少魁,Journal of Computer Science and Technology,journal,1,1
张少魁,IEEE Access,journal,1,12
张立保,IEEE Geoscience and Remote Sensing Letters,journal,23,494
张立保,IEEE Transactions on Geoscience and Remote Sensing,journal,18,361
张立保,"Proceedings of SPIE, the International Society for Optical Engineering/Proceedings of SPIE",journal,12,21
张立保,Neurocomputing,journal,6,108
张立保,Lecture notes in computer science,book series,6,12
张立保,Journal of Optoelectronics·laser,journal,5,2
张立保,IGARSS 2022 - 2022 IEEE International Geoscience and Remote Sensing Symposium,conference,4,0
张立保,IEEE Conference Proceedings,conference,4,0
张立保,International Journal of Remote Sensing,journal,3,90
张立保,Remote Sensing,journal,3,37
张立保,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,journal,3,210
张立保,Earthquake Science,journal,2,17
张立保,SSRN Electronic Journal,repository,2,0
张立保,2022 IEEE International Conference on Image Processing (ICIP),conference,2,12
张立保,arXiv (Cornell University),repository,2,9
张立保,IET Image Processing,journal,2,44
张立保,GIScience & Remote Sensing,journal,2,28
张立保,Journal of Visual Communication and Image Representation,journal,2,30
张立保,Journal of Applied Remote Sensing,journal,2,16
张立保,Lecture notes in control and information sciences,book series,2,0
张立保,Journal of Electroanalytical Chemistry,journal,1,0
张立保,BMC Surgery,journal,1,0
张立保,BMC Musculoskeletal Disorders,journal,1,2
张立保,Plants,journal,1,1
张立保,Forests,journal,1,0
张立保,The International Journal of Advanced Manufacturing Technology,journal,1,2
张立保,Journal of Water Process Engineering,journal,1,1
张立保,Fuel Cells,journal,1,2
张立保,Journal of Advanced Manufacturing Science and Technology,journal,1,2
张立保,Journal of Organizational and End User Computing,journal,1,14
张立保,Insects,journal,1,4
张立保,Journal of Non-Crystalline Solids,journal,1,9
张立保,The Visual Computer,journal,1,2
张立保,"Advances in economics, business and management research/Advances in Economics, Business and Management Research",book series,1,0
张立保,Bulletin of the Seismological Society of America,journal,1,26
张立保,Environmental Science and Pollution Research,journal,1,11
张立保,Journal of Water Chemistry and Technology,journal,1,1
张立保,Journal of Applied Biomaterials & Functional Materials,journal,1,4
张立保,Water Science & Technology,journal,1,8
张立保,Electrocatalysis,journal,1,25
张立保,Viruses,journal,1,30
张立保,Journal of Electronic Imaging,journal,1,5
张立保,Gaoyuan qixiang,journal,1,0
张立保,International Journal of Science and Engineering Applications,journal,1,16
张立保,Computers & Geosciences,journal,1,12
张立保,Image and Vision Computing,journal,1,26
张立保,International Journal of Electronics,journal,1,6
张立保,Remote Sensing Letters,journal,1,3
张立保,Optical Review,journal,1,2
张立保,Signal Processing,journal,1,16
张立保,KSII Transactions on Internet and Information Systems,journal,1,1
张立保,Scientia Sinica Informationis,journal,1,1
张立保,Journal of Radio & TV University,journal,1,0
张立保,Earth Science(Journal of China University of Geosciences),journal,1,1
张立保,Journal of Weifang Educational College,journal,1,0
张立保,Zhuzao,journal,1,0
张立保,SHILAP Revista de lepidopterología,journal,1,1
张立保,National Remote Sensing Bulletin,journal,1,1
张立保,Journal of Beijing Normal University,journal,1,3
张立保,International Journal of Applied Mathematics & Statistics/International journal of applied mathematics and statistics,journal,1,1
张立保,International Journal of Computational Intelligence Research,journal,1,4
张立保,Chinese Optics Letters,journal,1,5
张钟军,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,journal,1,17
张鸿文,arXiv (Cornell University),repository,48,290
张鸿文,Lecture notes in computer science,book series,7,326
张鸿文,IEEE Transactions on Pattern Analysis and Machine Intelligence,journal,5,267
张鸿文,ACM Transactions on Graphics,journal,3,103
张鸿文,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),conference,3,295
张鸿文,IEEE Transactions on Visualization and Computer Graphics,journal,2,0
张鸿文,ArXiv.org,repository,2,0
张鸿文,IEEE Transactions on Circuits and Systems for Video Technology,journal,2,29
张鸿文,Drones,journal,2,106
张鸿文,Proceedings of the AAAI Conference on Artificial Intelligence,conference,2,14
张鸿文,SSRN Electronic Journal,repository,2,3
张鸿文,Materials,journal,2,12
张鸿文,2021 IEEE/CVF International Conference on Computer Vision (ICCV),conference,2,315
张鸿文,Remote Sensing,journal,2,48
张鸿文,Drugs in R&D,journal,2,16
张鸿文,European Journal of Clinical Pharmacology,journal,2,27
张鸿文,Tribology International,journal,1,0
张鸿文,Agriculture,journal,1,0
张鸿文,Frontiers in Bioengineering and Biotechnology,journal,1,0
张鸿文,Journal of Image and Graphics,journal,1,0
张鸿文,Acta Obstetricia Et Gynecologica Scandinavica,journal,1,6
张鸿文,Materials & Design,journal,1,12
张鸿文,Sensors,journal,1,2
张鸿文,International Petroleum Technology Conference,conference,1,0
张鸿文,Applied Sciences,journal,1,14
张鸿文,Offshore Technology Conference Asia,conference,1,2
张鸿文,Journal of Hydrometeorology,journal,1,16
张鸿文,International Journal of Computer Vision,journal,1,35
张鸿文,Journal of Climate,journal,1,20
张鸿文,IEEE Transactions on Image Processing,journal,1,10
张鸿文,Clinical Drug Investigation,journal,1,1
张鸿文,EasyChair preprint,journal,1,0
张鸿文,IEEE Transactions on Information Forensics and Security,journal,1,64
张鸿文,Cehui yu Kongjian Dili Xinxi,journal,1,0
张鸿文,Journal of obstetrics and gynaecology research,journal,1,42
张鸿文,Scientific Reports,journal,1,13
张鸿文,Oncotarget,journal,1,42
张鸿文,Gynecologic and Obstetric Investigation,journal,1,9
张鸿文,Journal of Lipid Research,journal,1,138
张鸿文,Yanwaishang zhiye yanbing zazhi,journal,1,0
张鸿文,中国综合临床,journal,1,0
张鸿文,Explosive Materials,journal,1,0
张鸿文,Zhongguo quanke yixue,journal,1,0
张鸿文,Geomatics & Spatial Information Technology,journal,1,0
张鸿文,Guizhou kexue,journal,1,1
张鸿文,Machinery Design and Manufacture,journal,1,0
张鸿文,Journal of clinical research,journal,1,0
张鸿文,Well Logging Technology,journal,1,0
张鸿文,Computers & Graphics,journal,1,0
徐鹏飞,IEEE Transactions on Visualization and Computer Graphics,journal,8,163
徐鹏飞,ACM Transactions on Graphics,journal,4,53
徐鹏飞,Multimedia Tools and Applications,journal,4,50
徐鹏飞,Computational Visual Media,journal,3,9
徐鹏飞,Lecture notes in computer science,book series,3,3
徐鹏飞,Communications in computer and information science,book series,3,6
徐鹏飞,ArXiv.org,repository,2,0
徐鹏飞,arXiv (Cornell University),repository,2,8
徐鹏飞,Neurocomputing,journal,2,86
徐鹏飞,bioRxiv (Cold Spring Harbor Laboratory),repository,1,0
徐鹏飞,Sensors,journal,1,0
徐鹏飞,Journal of Physics Conference Series,journal,1,0
徐鹏飞,BMC Endocrine Disorders,journal,1,0
徐鹏飞,Computer Graphics Forum,journal,1,3
徐鹏飞,PLoS ONE,journal,1,3
徐鹏飞,Journal of Advances in Information Technology,journal,1,1
徐鹏飞,Computers & Graphics,journal,1,1
徐鹏飞,Journal of Computer-Aided Design & Computer Graphics,journal,1,1
徐鹏飞,Sustainability,journal,1,16
徐鹏飞,Optoelectronics Letters,journal,1,9
徐鹏飞,Lecture notes in electrical engineering,book series,1,0
徐鹏飞,Journal of Nanjing University of Posts and Telecommunications,journal,1,3
徐鹏飞,Information and Electronic Engineering,journal,1,4
徐鹏飞,Modern Computer,journal,1,0
徐鹏飞,IEEE Transactions on Systems Man and Cybernetics Part B (Cybernetics),journal,1,27
徐鹏飞,IEEE Transactions on Neural Networks,journal,1,105
曾文艺,Information Sciences,journal,9,452
曾文艺,International Journal of Intelligent Systems,journal,7,469
曾文艺,Journal of Intelligent & Fuzzy Systems,journal,6,56
曾文艺,Engineering Applications of Artificial Intelligence,journal,3,192
曾文艺,International Journal of Fuzzy Systems,journal,3,39
曾文艺,Soft Computing,journal,3,46
曾文艺,Advances in soft computing,book series,3,8
曾文艺,IEEE Access,journal,2,8
曾文艺,AIMS Mathematics,journal,2,12
曾文艺,Applied Mathematical Modelling,journal,2,20
曾文艺,Mohu xitong yu shuxue,journal,2,3
曾文艺,Systems Engineering - Theory & Practice,journal,2,4
曾文艺,Fuzzy Sets and Systems,journal,2,335
曾文艺,Analytica Chimica Acta,journal,1,2
